trainPct,selectionStrategy,evaluationMetric,accuracyPct,constructionTime,nodeCount,treeDepth,buyingDepth,maintDepth,doorsDepth,personsDepth,lugBootDepth,safetyDepth
3,BEST,INFORMATION_GAIN,73.3890,0.2337,30,4,2.00,3.00,2.50,0.00,-1.00,1.00
3,BEST,INFORMATION_GAIN,66.4678,0.1976,31,3,1.50,1.50,2.00,2.00,-1.00,0.00
3,BEST,INFORMATION_GAIN,65.3938,0.3384,39,4,2.00,2.00,1.50,0.00,-1.00,3.00
3,BEST,INFORMATION_GAIN,76.9093,0.3422,37,5,2.25,3.00,4.00,0.00,2.00,1.00
3,BEST,INFORMATION_GAIN,69.3317,0.2421,49,4,1.00,2.00,3.00,2.67,-1.00,0.00
3,BEST,INFORMATION_GAIN,61.6945,0.2263,42,4,1.67,0.00,1.00,2.00,3.00,1.00
3,BEST,INFORMATION_GAIN,73.0907,0.2041,41,4,2.50,1.50,2.00,2.00,-1.00,0.00
3,BEST,INFORMATION_GAIN,71.1814,0.1988,37,4,2.00,1.50,3.00,0.00,2.00,1.50
3,BEST,INFORMATION_GAIN,67.7208,0.1668,31,3,1.67,2.00,2.00,-1.00,1.00,0.00
3,BEST,INFORMATION_GAIN,76.4916,0.1079,34,4,2.00,3.00,3.00,1.00,-1.00,0.00
3,BEST,GINI_IMPURITY,69.2721,0.1306,21,3,1.00,1.00,-1.00,0.00,2.00,2.00
3,BEST,GINI_IMPURITY,57.2792,0.2131,43,3,0.00,1.75,1.50,1.00,2.00,-1.00
3,BEST,GINI_IMPURITY,73.0907,0.1695,30,4,1.00,2.67,2.00,0.00,2.00,1.00
3,BEST,GINI_IMPURITY,70.9427,0.403,27,4,2.00,2.00,2.00,0.00,-1.00,1.00
3,BEST,GINI_IMPURITY,70.2864,0.1488,27,4,3.00,1.67,2.00,0.00,-1.00,1.00
3,BEST,GINI_IMPURITY,72.1957,0.1787,31,4,2.00,2.00,3.00,1.00,-1.00,0.00
3,BEST,GINI_IMPURITY,68.4368,0.1637,27,3,2.00,1.00,1.50,2.00,-1.00,0.00
3,BEST,GINI_IMPURITY,73.5680,0.183,27,4,2.33,1.50,-1.00,1.00,-1.00,0.00
3,BEST,GINI_IMPURITY,72.7327,0.2024,33,4,1.50,2.33,-1.00,2.00,-1.00,0.00
3,BEST,GINI_IMPURITY,70.8831,0.1423,29,3,2.00,1.00,2.00,0.00,2.00,1.50
3,BEST,GINI_IMPURITY,67.6611,0.1778,38,4,1.67,1.50,2.50,0.00,3.00,2.00
